user,term,time
1,Computation/Query Optimization,12/28/15 15:01
1,Association Rule Mining,12/28/15 15:01
1,Dynamic Optimization,12/28/15 15:01
2,Ruby,12/8/15 8:17
2,Datamanagement,12/8/15 8:17
2,Spatial Statistics,12/8/15 8:17
2,Bash,12/8/15 8:17
2,Calculus,12/8/15 8:17
2,Computer,12/8/15 8:17
2,Manova,12/8/15 8:17
2,Streaming,12/8/15 8:17
2,Topic Modeling ,12/8/15 8:17
2,Elasticsearch,12/8/15 8:17
3,Rigor,11/30/15 12:57
3,Statistics,11/30/15 12:57
3,Scientific Method,11/30/15 12:57
4,Computer,11/4/15 16:24
4,Artificial Intelligence,11/4/15 16:24
5,Build Experience Applying Your Tools and Skills in a Subject Area Before Broadening Your Reach,10/25/15 1:13
5,Master a Software Tool Which Matters Little: R Python Matlab ,10/25/15 1:13
5,Real Stats Training Typically 4-6 Classes,10/25/15 1:13
6,Human Behaviour,10/15/15 8:52
6,Data Visualization,10/15/15 8:52
6,Mathematical Analysis,10/15/15 8:52
6,Basics of Micro and Macro Economy,10/15/15 8:52
6,Linear Algebra,10/15/15 8:52
6,Python,10/15/15 8:52
6,Basics of Theoretical Programming,10/15/15 8:52
6,Sampling Statistics,10/15/15 8:52
6,Data Engineering,10/15/15 8:52
6,R,10/15/15 8:52
6,Basics of Statistics,10/15/15 8:52
6,Prediction Models,10/15/15 8:52
7,Dataframes,10/8/15 10:09
7,PCA,10/8/15 10:09
7,Pass,10/8/15 10:09
7,Kmeans,10/8/15 10:09
7,SQL,10/8/15 10:09
7,Common Sense,10/8/15 10:09
7,Data Munging,10/8/15 10:09
7,Visual Analytics,10/8/15 10:09
7,Data Modelling,10/8/15 10:09
7,Regex,10/8/15 10:09
7,Test,10/8/15 9:19
7,Spark,10/8/15 9:19
7,Scala,10/8/15 9:19
7,Python,10/8/15 9:19
7,South Korea,10/8/15 9:19
8,R,10/4/15 0:39
8,Trees and Forests,10/4/15 0:39
8,R Packages,10/4/15 0:39
8,Python,10/4/15 0:39
8,Bayesian Stats,10/4/15 0:39
8,Data Visualization,10/4/15 0:39
8,Data Preparation,10/4/15 0:39
8,Multivariate Analysis,10/4/15 0:39
8,Linear Regression,10/4/15 0:39
9,Software Engineering,10/1/15 13:07
9,Graph Analysis,10/1/15 13:07
9,Visualization,10/1/15 13:07
10,SAS Enterprise Guide and RPM,9/30/15 12:51
10,Enterprise Data Mining and Text Mining Software ,9/30/15 12:51
10,R Packages,9/30/15 12:51
10,SAS Visualization and Statistics Tools,9/30/15 12:51
10,Business and Database Knowledge .,9/30/15 12:51
11,Reference Texts,9/25/15 19:02
11,Communication Skills,9/25/15 19:02
11,R,9/25/15 19:02
11,Mentors to Provide Guidance/Support When Needed,9/25/15 19:02
11,Generalized Linear Mixed Models,9/25/15 19:02
11,Missing Data Techniques,9/25/15 19:02
11,Data Transformation,9/25/15 19:02
11,Colleagues to Bounce Ideas Off Of,9/25/15 19:02
11,SAS,9/25/15 19:02
11,Linear Mixed Models,9/25/15 19:02
11,Pass,9/25/15 19:02
11,Google Search for Program Errors/Bugs,9/25/15 19:02
11,Writing Skills,9/25/15 19:02
11,Problem Solving,9/25/15 19:02
12,Scala,9/25/15 6:33
12,Machine Learning,9/25/15 6:33
12,Graph Analysis,9/25/15 6:33
12,Natural Language Processing,9/25/15 6:33
12,Spark,9/25/15 6:33
13,R,9/25/15 3:56
13,D3,9/25/15 3:56
13,Modelling,9/25/15 3:56
14, Python Library,9/24/15 10:03
14,Machine Learning,9/24/15 10:03
15,Common Sense,9/23/15 8:42
15,MySQL,9/23/15 8:42
15,Data Modelling,9/23/15 8:42
15,Regression,9/23/15 8:42
16,R,9/22/15 23:47
16,Regression Analysis,9/22/15 23:47
16,Stata,9/22/15 23:47
17,Statistics,9/22/15 23:27
17,Linked Data,9/22/15 23:27
17,Predictive Analytics,9/22/15 23:27
17,Linguistic Data,9/22/15 23:27
17,Data Cleaning,9/22/15 23:27
17,D3,9/22/15 23:27
17,Visualization,9/22/15 23:27
17,Clustering,9/22/15 23:27
17,Agent Based Models,9/22/15 23:27
17,Graph Database,9/22/15 23:27
17,Javascript,9/22/15 23:27
17,Python,9/22/15 23:27
17,Named Entity Recognition,9/22/15 23:27
17,String Manipulation,9/22/15 23:27
18,R Packages,9/22/15 21:46
18,Text Mining,9/22/15 21:46
18,Visualisation,9/22/15 21:46
19,R Packages,9/22/15 3:47
19,Linguistic Data,9/22/15 3:47
19,Generalized Additive Models,9/22/15 3:47
19,Machine Learning,9/22/15 3:47
19,Java,9/22/15 3:47
19,Feature Selection,9/22/15 3:47
19,Algorithms,9/22/15 3:47
19,Classification,9/22/15 3:47
20,Databases,9/22/15 3:05
20,Text Analytics,9/22/15 3:05
20,Text Mining,9/22/15 3:05
20,Sentiment Analysis,9/22/15 3:05
20,Cluster Analysis,9/22/15 3:05
20,Pandas,9/22/15 3:05
20,dplyr,9/22/15 3:05
20,ggplot,9/22/15 3:05
20,data.table,9/22/15 3:05
20,R Packages,9/22/15 3:05
20,IPython,9/22/15 3:05
20,Data Munging,9/22/15 3:05
20,RStudio,9/22/15 3:05
20,Machine Learning,9/22/15 3:05
21,PyParsing,9/20/15 23:00
21,Data Ingestion,9/20/15 23:00
21,Bayesian Methods,9/20/15 23:00
21,AWS,9/20/15 23:00
21,Optimization,9/20/15 23:00
21,Data Munging,9/20/15 23:00
22,Supervised Learning,9/19/15 17:50
22,Hive,9/19/15 17:50
22,ANN,9/19/15 17:50
22,Kmeans,9/19/15 17:50
22,Hadoop,9/19/15 17:50
22,Spark,9/19/15 17:50
22,Unsupervised Learning,9/19/15 17:50
22,R,9/19/15 17:50
22,Anomaly Detection,9/19/15 17:50
23,iPython Notebook,9/19/15 13:37
23,PyParsing,9/19/15 13:37
23,Data Wrangling,9/19/15 13:37
23,Bayesian Methods/Networks,9/19/15 13:37
23,D3.js,9/19/15 13:37
23,Pandas,9/19/15 13:37
23,Programming,9/19/15 13:37
23,Scikit-Learn,9/19/15 13:37
23,Numpy,9/19/15 13:37
23,Machine Learning,9/19/15 13:37
23,PyDOE,9/19/15 13:37
23,SQL,9/19/15 13:37
23,Matplotlib,9/19/15 13:37
23,Python,9/19/15 13:37
23,HDF,9/19/15 13:37
23,Probability and Statistics,9/19/15 13:37
24,Datamanagement,9/19/15 6:38
24,Data Visualization,9/19/15 6:38
24,Statistics,9/19/15 6:38
25,Time Series,9/19/15 5:05
25,Matrix Algebra,9/19/15 5:05
25,Sampling,9/19/15 5:05
